RPM,A_mean,A_std,A_rms,A_min,A_max,A_peak,A_skewness,A_kurtosis,A_crest_factor,A_dominant_freq,A_spectral_centroid,A_spectral_entropy,H_mean,H_std,H_rms,H_min,H_max,H_peak,H_skewness,H_kurtosis,H_crest_factor,H_dominant_freq,H_spectral_centroid,H_spectral_entropy,V_mean,V_std,V_rms,V_min,V_max,V_peak,V_skewness,V_kurtosis,V_crest_factor,V_dominant_freq,V_spectral_centroid,V_spectral_entropy,Flow Rate
1350,0.0719776195320448,4.545297821258197,4.545867690732763,-11.564,19.296,19.296,0.2053494188133705,-0.06281140461072043,4.244734187784866,26.042726347914545,910.4601940931875,6.601623270935574,-0.0002454391319091005,5.771975075178447,5.771975080396796,-12.532,14.311,14.311,-0.1428350029073184,-0.6227316865139247,2.4793939337340634,17.36181756527636,1309.2516739942787,6.58501006567893,0.04416195320447608,3.091213936515219,3.0915293754736917,-12.555,11.455,12.555,-0.2734668491251734,1.3494614180552427,4.061096782583957,17.36181756527636,921.2986678881548,6.6048561307080496,28.43
1350,-0.04750410308579181,4.151194306815823,4.151466104010737,-11.885,19.036,19.036,0.23628018028325234,0.10536046761884243,4.585368041812818,26.042726347914545,924.5828022996742,6.567854204456597,0.0055173957273653195,5.278841552901874,5.278844436266245,-11.841,10.677,11.841,-0.27348502676415504,-0.7862116391229743,2.2431045549762785,17.36181756527636,822.095163496303,6.068657399698954,0.020151983723296026,2.703744371360436,2.703819470325492,-11.387,8.354,11.387,-0.18377629136249019,1.1633059746401395,4.2114498120058315,26.042726347914545,1085.9357768586062,6.746684687691008,28.43
1375,-0.027159986436080037,4.310562259464029,4.3106478234226975,-11.616,15.511,15.511,0.27771591225541875,-0.05383806980024941,3.598299057445178,26.042726347914545,1179.6948028633597,6.838533308068332,-0.18521119023397775,6.985312424109463,6.9877673721587135,-14.617,16.681,16.681,-0.03278515351726855,-0.7101195474470661,2.3871716260134717,17.36181756527636,1018.2160685108817,6.290338894644945,-0.010431332655137328,2.7330873517837766,2.7331072582651084,-10.681,8.649,10.681,-0.1718548284359264,1.0325954655071365,3.908006159546028,17.36181756527636,1141.1418004001957,6.798649890467798,29.46
1375,-0.04888273991183456,4.275200407449461,4.275479861502955,-10.919,17.629,17.629,0.34059794572484714,0.338891593276315,4.123279858884167,187.5076297049847,844.5756601163613,6.543889193806448,-0.17381241098677522,5.513646871660649,5.5163858258452425,-11.557,11.55,11.557,-0.10195452609042992,-0.8597907109291363,2.095031124518777,17.36181756527636,658.7416153337718,5.868787633201637,-0.003378026449643918,2.657857223518423,2.65785937018341,-8.141,7.569,8.141,-0.08716167178776729,-0.03656467301075672,3.0629912520308467,71.18345201763309,1192.242575344442,6.808826573655137,29.46
1400,-0.03290844354018311,4.020195116744596,4.020329805171877,-10.332,15.692,15.692,0.46900792241476436,0.28477972045265165,3.9031623673792444,27.77890810444218,878.7693778790725,6.6534121436124956,0.223514479484571,7.848995033719039,7.852176880450757,-16.107,18.559,18.559,0.12451637554732635,-0.780283034375723,2.3635483869709537,17.36181756527636,672.942821817119,5.892632604432585,0.01524849101390301,2.977726278259179,2.977765320624421,-8.356,9.173,9.173,0.2784195877043765,0.366519653572591,3.0804979614970036,81.6005425567989,1040.7736834835573,6.622597389061107,30.42
1400,0.13195496778568996,4.256822908102472,4.258867617626699,-12.355,16.452,16.452,0.4554431460492768,0.39027602388261684,3.8629986834782297,27.77890810444218,703.0815605984445,6.437439664415752,-0.2719234316717531,6.264660111516155,6.270558879837884,-12.748,13.61,13.61,0.10263039435496091,-0.881108640781457,2.1704604423317155,17.36181756527636,855.6579724946175,5.9794839276408345,-0.029246592065106783,2.583039373643228,2.5832049413352056,-7.83,9.702,9.702,0.31512496599031203,0.5324644730898362,3.755799566946181,27.77890810444218,1123.5782668321403,6.772771973681491,30.42
1425,0.06927324516785352,4.123347654248371,4.123929516891823,-9.794,15.651,15.651,0.452923982646756,0.16528392221770005,3.795166705903366,27.77890810444218,969.0455097136328,6.707212496518305,0.22084469311631075,6.705113022961267,6.708748991366605,-13.564,16.477,16.477,0.17186018263595765,-0.9425747063909662,2.4560465775667,19.097999321804,956.0399822485061,6.263291262211513,-0.0032055612071888633,2.7178373095838824,2.7178391999875213,-8.374,8.874,8.874,0.3148524468015128,0.25999239716877165,3.2650938289655786,27.77890810444218,1072.5711408916798,6.743983146671028,31.47
1425,0.08520142421159713,4.353297552700862,4.354131241136284,-12.339,17.216,17.216,0.4497948340202314,0.4461269833478214,3.953946044930698,19.097999321804,803.4531795019964,6.56682242363388,0.24160413699559177,4.861093839525553,4.867094192193806,-11.04,13.714,13.714,0.018548619363073254,-0.6075711125602017,2.8176976771880637,36.459816887080365,870.9578953288784,6.228718111923941,0.004605154289589674,2.5822361799798443,2.582240286387564,-7.365,8.679,8.679,0.33591971885798505,0.23266113141014655,3.3610350073739745,55.55781620888436,1251.036717841255,6.8821651243270665,31.47
1450,-0.032900644286198696,3.673696700569483,3.673844022297293,-10.844,13.074,13.074,0.03979053352493094,-0.3256643506627497,3.5586704064329577,27.77890810444218,844.6010174817987,6.636736744820254,0.26746815869786383,5.537618603857049,5.544074225486246,-13.147,18.473,18.473,0.30178036662451474,0.13878381282465924,3.3320260964543302,19.097999321804,716.71973068099,6.088224377204761,0.06196412343167177,2.5359505920312313,2.5367075034020394,-6.811,8.05,8.05,0.4196725242437131,0.06940275816662345,3.1734048916573756,131.94981349610035,1094.0798955912276,6.791810693064629,32.45
1450,-0.002557748389284484,4.1453941565135946,4.145394945591297,-14.837,14.344,14.837,-0.055994107734561656,0.0861040711749963,3.5791523352387493,19.097999321804,779.2041900442541,6.546853218380208,0.1810951508986096,4.935575913748387,4.938897149572181,-12.18,15.599,15.599,0.20558245305941567,-0.033479501242865695,3.1583974169924196,38.195998643608,925.0924898714479,6.233669321520689,0.03819633774160731,2.46512574013091,2.465421642411869,-6.954,8.762,8.762,0.4468515616926811,0.28173798847776865,3.553955984351757,131.94981349610035,1041.101007550729,6.7552697523328185,32.45
1475,-0.04816649711766699,3.544032635623364,3.5443599328804165,-9.59,11.269,11.269,-0.017667106201588224,-0.557013412858979,3.1794175008749614,29.515089860969816,1049.9885006853397,6.8184092014415985,0.05885350966429291,5.692208995411649,5.692513239602092,-12.99,16.697,16.697,0.43133137016575546,0.14657664400803627,2.9331508416776426,38.195998643608,721.8197052767337,6.042220837198985,-0.02823370634113257,2.462919712450959,2.46308153583134,-6.551,10.309,10.309,0.7431852425420351,0.76295407567238,4.185407527128615,133.685995252628,1307.671615924971,6.9502815029375915,33.41
1475,0.028794845710410327,3.5428583485874605,3.5429753627841323,-11.43,10.513,11.43,-0.19742183699424593,-0.25942015250603623,3.2261020271442433,38.195998643608,884.6127394716506,6.686180768379507,0.12683655476432695,4.735647296837811,4.737345546999053,-10.987,14.141,14.141,0.4351145881476021,0.004565055309460941,2.985004969493484,38.195998643608,1150.3154625613874,6.461427552027637,0.024112105798575766,2.4705876742042743,2.470705334429043,-6.272,8.343,8.343,0.6363413799828805,0.30206665946073175,3.3767685218229353,76.391997287216,1269.621834805948,6.930402204311624,33.41
150,0.01018026449643947,0.12368900687188865,0.12410724477713451,-0.411,0.569,0.569,0.08820702305934564,0.5716750672768507,4.584744436328284,20.834181078331635,2396.0654651879136,7.830257483942483,0.012676297049847409,0.18887119449218825,0.18929610829544796,-0.724,0.651,0.724,-0.05007426543317798,0.18250478137186832,3.824695639648341,20.834181078331635,2366.483628280284,7.719291699602587,0.008516242794167515,0.11483392415269661,0.11514927931878899,-0.54,0.395,0.54,-0.19208858647090227,0.42234785752554593,4.689564738872733,20.834181078331635,2702.6193267923213,7.956023839843296,3.35
150,0.01264821973550356,0.12570087060904966,0.1263356099219481,-0.465,0.438,0.465,-0.07271382949412067,0.399073840930972,3.6806724587571433,22.57036283485927,2302.2655648092305,7.784160303290136,-0.00285303492709393,0.169029022195299,0.16905309861873014,-0.553,0.619,0.619,0.1017711205245366,-0.2098894726007572,3.6615714533340014,19.097999321804,2519.8387638312042,7.8015920234334235,0.009496710749406579,0.11697108994407147,0.11735596873513487,-0.483,0.458,0.483,-0.035509826143237215,0.12189004748879162,4.115683294218302,20.834181078331635,2567.266133758941,7.913842119027683,3.35
